ruleID,attr_1220,attr_1221,attr_1222,attr_1223,attr_1224,attr_1225,attr_1226,attr_1227,attr_1228,attr_1229,attr_1230,attr_1231
11655,1,1,0,0,0,0,0,0,0,0,0,0
11656,1,0,0,1,0,0,0,0,0,0,0,0
11657,0,0,0,0,1,1,0,0,0,0,0,0
11658,0,2,0,0,1,0,1,0,0,0,0,0
11659,0,1,0,0,0,0,0,1,0,0,0,0
11660,0,0,0,1,0,0,0,1,0,0,0,0
11661,0,0,0,0,0,1,0,0,1,0,0,0
11662,0,0,0,0,0,0,1,0,1,0,0,0
11663,0,0,0,0,0,0,0,1,0,1,0,0
11664,0,0,0,0,0,0,0,0,0,1,1,0
11665,0,0,0,0,0,0,0,0,0,1,1,0
11666,0,0,1,0,0,0,0,0,1,0,0,0
11667,0,0,1,0,0,0,0,0,0,0,0,1
11668,1,1,1,0,0,0,0,0,0,0,0,0
11669,1,1,1,2,0,0,0,0,0,0,0,0
11670,1,1,1,2,0,2,0,0,0,0,0,0
11671,1,1,1,2,0,2,0,0,0,0,0,0
